CENTER_SD_CD,CENTER_SD_NM,CENTER_SGG_CD,CENTER_SGG_NM,TEST_YEAR,TEST_ALL_CNT,MEMB_CNT,AGE_GBN_CHILDREN_CNT,AGE_GBN_YOUTH_CNT,AGE_GBN_ADULT_CNT,AGE_GBN_CITIZEN_CNT,INPUT_GBN_ADMIN_CNT,INPUT_GBN_INBODY_CNT,TEST_GBN_GENERAL_CNT,TEST_GBN_TRIP_CNT,TEST_SEX_M,TEST_SEX_W,CERT_GBN_GOLD,CERT_GBN_SILVER,CERT_GBN_BRONZE,CERT_GBN_PARTICIPATION,TEST_AGE_YOUNGER10,TEST_AGE_TEENAGERS,TEST_AGE_TWENTIES,TEST_AGE_THIRTIES,TEST_AGE_FORTIES,TEST_AGE_FIFTIES,TEST_AGE_SIXTIES,TEST_AGE_OLDER70
11,서울,11440,마포구,2022,192,184,0,3,76,113,192,0,192,0,132,60,14,41,47,90,0,3,1,7,4,18,119,40
11,서울,11710,송파구,2010,2,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
11,서울,11710,송파구,2011,82,1,0,0,82,0,0,0,82,0,48,34,7,16,30,29,0,1,28,26,20,6,1,0
11,서울,11710,송파구,2014,1476,96,0,47,1124,305,1178,0,1453,23,590,886,24,126,328,998,0,83,265,207,182,262,334,143
11,서울,11200,성동구,2022,138,135,0,4,84,50,138,0,138,0,89,49,10,30,47,51,0,5,10,7,2,25,69,20
11,서울,11740,강동구,2022,258,240,0,2,170,86,256,0,258,0,202,56,17,55,77,109,0,4,18,6,19,43,128,40
11,서울,11440,마포구,2021,23,23,0,1,14,8,23,0,23,0,16,7,3,7,5,8,0,3,8,1,1,0,5,5
11,서울,11650,서초구,2022,196,191,0,6,128,62,196,0,196,0,123,73,15,47,52,82,0,9,27,14,13,39,77,17
11,서울,11200,성동구,2014,5587,177,0,629,3406,1552,1554,0,3786,1801,1972,3615,240,644,1107,3596,0,869,1427,368,445,641,812,1025
11,서울,11650,서초구,2020,134,132,0,6,112,16,75,59,84,50,107,27,7,14,39,74,0,26,81,1,2,3,12,9
11,서울,11410,서대문구,2021,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
11,서울,11305,강북구,2021,20,20,0,2,9,9,0,0,20,0,17,3,2,3,3,12,0,2,2,0,0,0,12,4
11,서울,11350,노원구,2020,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
11,서울,11140,중구,2021,72,67,0,0,43,29,7,0,66,6,50,22,3,16,20,33,0,2,13,3,1,12,23,18
11,서울,11650,서초구,2021,388,364,0,45,273,70,388,0,330,58,266,122,40,89,110,149,0,84,162,17,6,21,56,42
11,서울,11200,성동구,2013,4148,122,0,0,2697,1451,2594,0,4148,0,1434,2714,171,469,921,2587,0,27,776,345,454,673,1019,854
11,서울,11305,강북구,2022,106,101,1,2,54,49,3,0,106,0,84,22,17,27,23,39,0,5,6,2,6,9,56,22
11,서울,11650,서초구,2014,5771,94,0,89,4445,1237,2031,0,3777,1994,2225,3546,310,717,1264,3480,0,777,1986,617,371,477,782,761
11,서울,11740,강동구,2021,50,46,0,0,20,30,50,0,50,0,20,30,1,10,18,21,0,0,4,1,1,3,19,22
26,부산,26470,연제구,2021,9,9,0,0,9,0,9,0,0,9,9,0,0,2,0,7,0,0,2,6,1,0,0,0
26,부산,26410,금정구,2013,3474,5,0,0,2321,1153,2257,0,3474,0,1663,1811,145,327,856,2146,0,269,1162,118,259,400,417,849
26,부산,26170,동구,2022,43,40,0,5,31,7,0,0,43,0,22,21,3,15,6,19,0,7,11,7,6,5,0,7
26,부산,26410,금정구,2022,62,51,0,7,53,2,3,59,62,0,49,13,1,11,14,36,0,9,33,9,5,3,1,2
26,부산,26410,금정구,2014,26,1,0,0,7,19,0,0,26,0,21,5,0,3,7,16,0,0,1,2,2,2,9,10
26,부산,26470,연제구,2022,56,54,0,12,35,9,4,0,56,0,34,22,11,8,19,18,0,13,20,6,4,3,2,8
26,부산,26290,남구,2011,9,2,0,0,9,0,7,0,9,0,2,7,0,0,4,5,0,0,1,1,6,1,0,0
26,부산,26170,동구,2021,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
26,부산,26320,북구,2014,3662,53,0,616,2596,450,764,0,2661,1001,1158,2504,236,546,869,2011,0,825,563,400,656,565,415,238
26,부산,26380,사하구,2015,5260,1493,0,2187,2572,501,3738,0,2085,3175,2850,2410,161,535,1068,3496,0,2280,763,238,337,748,689,205
26,부산,26290,남구,2012,2984,24,0,0,2984,0,2389,0,2984,0,1128,1856,74,251,699,1960,4,192,479,659,698,713,239,0
26,부산,26380,사하구,2021,55,53,0,14,41,0,55,0,0,55,35,20,3,8,11,33,0,46,9,0,0,0,0,0
26,부산,26530,사상구,2022,51,50,0,5,42,4,51,0,51,0,28,23,3,7,14,27,0,8,24,5,3,5,4,2
26,부산,26290,남구,2014,4501,64,0,815,2864,822,1258,0,2490,2011,1904,2597,177,423,759,3142,0,931,661,591,737,539,587,455
26,부산,26530,사상구,2021,641,547,0,141,488,12,638,3,620,21,476,165,34,90,177,340,0,281,254,47,25,16,12,6
26,부산,26470,연제구,2020,3,2,0,0,3,0,0,0,3,0,2,1,0,0,0,3,0,0,3,0,0,0,0,0
26,부산,26380,사하구,2022,104,104,9,6,25,64,104,0,104,0,18,86,3,17,27,57,0,15,4,2,0,7,34,42
26,부산,26290,남구,2013,3673,58,0,0,2337,1336,1875,0,3673,0,1111,2562,256,522,783,2112,0,34,345,414,584,615,940,741
27,대구,27290,달서구,2014,4174,68,0,944,2263,967,2112,0,3152,1022,1699,2475,125,463,844,2742,0,1089,607,259,337,542,722,618
27,대구,27290,달서구,2013,4127,46,0,0,2853,1274,2656,0,4127,0,1635,2492,199,512,986,2430,0,62,677,358,499,760,1006,765
27,대구,27260,수성구,2022,175,161,1,13,144,17,9,0,175,0,106,69,20,24,46,85,0,47,37,15,12,33,23,8
27,대구,27290,달서구,2022,70,66,0,6,56,8,7,63,70,0,43,27,4,13,24,29,0,7,22,9,9,10,9,4
27,대구,27290,달서구,2021,161,148,0,6,121,34,0,161,161,0,119,42,21,39,35,66,0,20,51,17,16,7,33,17
28,인천,28185,연수구,2015,4266,408,0,468,2079,1719,3461,385,1904,2362,1925,2341,156,518,988,2604,0,656,773,265,294,323,863,1092
28,인천,28140,동구,2021,271,230,2,48,196,25,1,0,271,0,210,61,15,58,70,128,0,76,121,10,5,13,27,19
28,인천,28170,미추홀구,2020,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
28,인천,28140,동구,2020,76,75,0,0,76,0,42,0,37,39,54,22,4,4,17,51,0,0,14,19,13,26,4,0
28,인천,28140,동구,2022,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
28,인천,28185,연수구,2022,38,37,0,2,17,19,3,0,38,0,22,16,1,10,15,12,0,2,11,1,1,2,13,8
28,인천,28185,연수구,2021,43,41,0,2,22,19,6,0,43,0,33,10,1,5,19,18,0,3,15,1,0,1,13,10
29,광주,29200,광산구,2011,2,1,0,0,2,0,2,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,2,0
29,광주,29200,광산구,2013,4315,25,0,0,3090,1225,14,0,4315,0,1723,2592,95,379,1000,2841,0,119,1050,639,535,509,592,871
29,광주,29200,광산구,2021,502,453,11,69,300,122,502,0,270,232,274,228,16,58,106,322,0,132,129,35,22,38,46,100
29,광주,29140,서구,2020,2,2,0,0,2,0,0,0,2,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0
29,광주,29200,광산구,2014,4611,37,0,121,3165,1325,3,0,3204,1407,1524,3087,92,352,884,3283,0,230,979,546,579,653,686,938
29,광주,29200,광산구,2012,3020,8,0,0,3020,0,1584,0,3020,0,846,2174,114,276,720,1910,10,197,581,515,699,706,311,1
29,광주,29200,광산구,2022,63,62,0,0,63,0,63,0,12,51,19,44,0,3,3,57,0,0,3,2,40,18,0,0
29,광주,29170,북구,2021,853,836,0,558,264,31,853,0,138,715,454,399,60,92,163,538,0,606,77,34,34,59,19,24
29,광주,29170,북구,2022,116,111,0,0,77,39,116,0,116,0,17,99,14,19,31,52,0,5,6,2,4,37,43,19
30,대전,30170,서구,2021,162,149,0,17,108,37,162,0,130,32,110,52,20,41,40,61,0,64,36,8,2,2,22,28
30,대전,30170,서구,2013,3984,53,0,0,2477,1507,636,0,3984,0,1317,2667,126,393,840,2625,0,91,341,370,551,749,908,974
30,대전,30170,서구,2014,4289,77,0,413,2598,1278,3,0,2787,1502,1474,2815,95,363,928,2903,0,613,597,469,614,549,551,896
30,대전,30170,서구,2022,154,144,1,13,108,32,154,0,154,0,113,41,20,28,35,71,0,18,50,13,9,16,28,20
30,대전,30170,서구,2015,5139,233,0,1134,3023,982,3264,0,2720,2419,2158,2981,111,440,1108,3480,0,1392,770,495,728,562,510,682
31,울산,31140,남구,2017,373,241,0,2,332,39,373,0,317,56,86,287,7,41,62,263,0,9,56,22,83,109,79,15
41,경기,41610,광주시,2021,215,196,0,15,118,82,215,0,194,21,162,53,14,61,53,87,0,43,41,8,0,15,54,54
41,경기,41590,화성시,2013,5016,87,0,0,3719,1297,1522,0,5016,0,2191,2825,118,546,1102,3250,0,208,624,858,902,809,806,809
41,경기,41210,광명시,2011,5,1,0,0,5,0,3,0,5,0,1,4,0,0,3,2,0,0,0,2,0,0,3,0
41,경기,41360,남양주시,2013,3570,9,0,0,2158,1412,988,0,3570,0,905,2665,166,454,804,2146,0,6,278,314,412,717,975,868
41,경기,41210,광명시,2012,3060,1,0,0,3060,0,1447,0,3060,0,649,2411,86,261,625,2088,1,88,347,539,702,968,414,1
41,경기,41390,시흥시,2021,186,156,0,0,133,53,186,0,186,0,115,71,8,25,44,109,0,19,41,10,5,37,41,33
41,경기,41650,포천시,2021,5,5,3,1,1,0,0,0,5,0,1,4,0,2,0,3,0,4,1,0,0,0,0,0
41,경기,41830,양평군,2021,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
41,경기,41150,의정부시,2021,265,239,0,19,143,103,265,0,265,0,186,79,4,56,94,111,0,30,52,10,4,20,88,61
41,경기,41590,화성시,1972,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
41,경기,41285,고양시 일산동구,2014,3723,15,0,32,1941,1750,1623,0,2358,1365,1115,2608,219,602,878,2024,0,139,565,146,317,536,805,1215
41,경기,41117,수원시 영통구,2021,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
41,경기,41590,화성시,2022,203,176,1,7,110,85,203,0,203,0,106,97,18,43,50,92,0,9,16,16,7,40,61,54
41,경기,41590,화성시,2014,4148,112,0,115,2726,1307,1258,0,2384,1764,1337,2811,208,479,780,2681,0,271,389,636,657,541,826,828
41,경기,41210,광명시,2013,4148,11,0,0,2253,1895,1148,0,4148,0,893,3255,265,650,902,2331,0,63,307,285,320,735,1296,1142
41,경기,41287,고양시 일산서구,2010,9,5,0,0,9,0,0,0,9,0,7,2,0,0,0,9,0,0,6,2,0,0,1,0
41,경기,41271,안산시 상록구,2020,2,2,0,0,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0
41,경기,41590,화성시,2021,551,409,1,53,381,116,551,0,551,0,336,215,36,117,156,242,0,118,147,37,33,49,80,87
41,경기,41195,부천시 원미구,2021,14,14,0,1,6,7,14,0,14,0,7,7,1,5,5,3,0,1,4,0,0,0,4,5
41,경기,41271,안산시 상록구,2021,5,5,0,0,4,1,1,0,5,0,3,2,0,0,2,3,0,0,2,0,0,0,2,1
41,경기,41287,고양시 일산서구,2021,121,121,0,3,58,60,121,0,121,0,84,37,7,28,36,50,0,4,15,4,12,13,32,41
41,경기,41133,성남시 중원구,2021,126,111,0,3,53,70,126,0,126,0,76,50,7,23,32,64,0,3,12,1,1,19,46,44
41,경기,41133,성남시 중원구,2022,64,62,0,3,24,37,64,0,64,0,42,22,10,19,16,19,0,3,11,2,3,1,11,33
41,경기,41610,광주시,2022,157,144,0,4,68,85,155,0,141,16,99,58,14,58,34,51,0,17,14,4,5,7,75,35
41,경기,41150,의정부시,2022,295,273,1,34,142,118,295,0,257,38,225,70,13,54,84,144,0,54,42,8,13,22,94,62
41,경기,41830,양평군,2022,57,47,1,0,36,20,4,0,57,0,44,13,1,8,21,27,0,1,6,0,3,19,15,13
41,경기,41287,고양시 일산서구,2022,165,148,0,9,88,68,164,0,165,0,111,54,14,35,39,77,0,17,30,9,10,11,54,34
41,경기,41650,포천시,2022,69,66,15,29,15,10,61,0,26,43,38,31,3,13,10,43,0,44,7,1,0,2,8,7
41,경기,41370,오산시,2022,110,99,0,0,35,75,110,0,110,0,54,56,5,12,38,55,0,3,6,2,6,8,42,43
42,강원,42130,원주시,2012,3109,18,0,0,3109,0,2329,0,3109,0,1028,2081,72,248,710,2079,9,73,640,630,796,777,184,0
42,강원,42190,태백시,2021,11,7,0,0,10,1,10,0,11,0,9,2,0,2,2,7,0,0,6,0,0,0,4,1
42,강원,42130,원주시,2021,154,152,0,31,109,14,95,59,81,73,90,64,4,18,39,93,0,57,66,0,2,5,14,10
42,강원,42150,강릉시,2022,45,38,0,0,44,1,45,0,45,0,39,6,1,6,8,30,0,1,8,5,2,15,14,0
42,강원,42130,원주시,2013,3919,33,0,0,2723,1196,1449,0,3919,0,1514,2405,157,439,801,2522,0,169,823,405,467,566,723,766
42,강원,42110,춘천시,2021,898,777,0,531,360,7,897,1,401,497,553,345,64,132,196,506,0,639,173,29,18,22,13,4
42,강원,42130,원주시,2014,4122,41,0,614,2600,908,981,0,1995,2127,1729,2393,147,424,794,2757,1,715,917,309,428,597,540,615
42,강원,42110,춘천시,2022,134,128,0,17,104,13,134,0,122,12,65,69,12,20,22,80,0,19,21,15,16,31,25,7
42,강원,42130,원주시,2022,156,145,27,7,58,64,156,0,119,37,104,52,19,26,32,79,0,35,10,1,0,21,52,37
42,강원,42230,삼척시,2022,26,26,0,0,26,0,26,0,4,22,3,23,7,9,7,3,0,0,18,6,0,2,0,0
42,강원,42230,삼척시,2021,63,58,0,5,53,5,63,0,30,33,31,32,5,21,17,20,0,6,37,6,1,5,4,4
42,강원,42130,원주시,2011,2,1,0,0,2,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,1,0,1,0
42,강원,42190,태백시,2022,76,76,0,11,56,9,76,0,31,45,49,27,5,18,14,39,0,12,12,5,10,18,12,7
43,충북,43130,충주시,2022,27,26,0,8,14,5,27,0,18,9,19,8,3,3,7,14,0,8,4,0,0,4,11,0
